Tile,Lat,Long,Height,m East,m North
51,-26.70221568,116.67023180,376.804,-55.56,124.801
52,-26.70373329,116.67257310,375.008,177.467,-43.377
53,-26.70264700,116.67057190,376.352,-21.71,77.005
54,-26.70406892,116.67171250,375.761,91.809,-80.565
55,-26.70568753,116.67233430,376.483,153.7,-259.929
56,-26.70354372,116.67011100,376.175,-67.582,-22.361
57,-26.70370178,116.66960410,376.055,-118.037,-39.873
58,-26.70221212,116.66991070,377.033,-87.516,125.197
71,-26.70162921,116.66882090,377.167,-195.98,189.795
72,-26.70248331,116.66879870,377.028,-198.194,95.15
73,-26.70511240,116.66793200,374.910,-284.457,-196.181
74,-26.70373931,116.66689010,375.384,-388.152,-44.022
75,-26.70348584,116.66624170,375.127,-452.686,-15.933
76,-26.70167088,116.66607960,374.772,-468.817,185.187
77,-26.70168970,116.66712750,375.752,-364.524,183.098
78,-26.70093720,116.66707640,375.256,-369.608,266.484
101,-26.69763418,116.66558500,372.657,-518.046,632.503
102,-26.69788627,116.66586740,372.955,-489.943,604.568
103,-26.69959694,116.66500710,373.414,-575.557,415.008
104,-26.70425834,116.66490550,375.240,-585.675,-101.53
105,-26.70205837,116.66422440,374.497,-653.467,142.255
106,-26.70142747,116.66390720,374.276,-685.027,212.168
107,-26.70255699,116.65994280,377.101,-1079.598,87.018
108,-26.69815754,116.66048060,374.147,-1026.074,574.527
111,-26.68835506,116.66743670,371.294,-333.758,1660.732
112,-26.69523700,116.66850780,373.762,-227.151,898.129
113,-26.69628823,116.66904460,374.267,-173.717,781.638
114,-26.69529227,116.66820830,373.560,-256.952,892.005
115,-26.69645739,116.66883060,374.142,-195.018,762.893
116,-26.69673882,116.66828170,373.844,-249.647,731.709
117,-26.69698595,116.66776880,373.560,-300.696,704.326
118,-26.69352253,116.66185310,370.536,-889.471,1088.136
121,-26.69066023,116.67798800,374.798,716.393,1405.255
122,-26.69776240,116.67368440,375.171,288.066,618.265
123,-26.69640744,116.67318450,375.856,238.31,768.413
124,-26.69594440,116.67307970,375.805,227.878,819.724
125,-26.69598479,116.67140740,376.054,61.443,815.255
126,-26.69602746,116.67019850,375.222,-58.874,810.53
127,-26.69476663,116.67114400,376.346,35.224,950.242
128,-26.69059632,116.67080030,373.839,1.015,1412.363
131,-26.69440553,116.67922940,372.828,839.943,990.227
132,-26.69559297,116.68261890,372.289,1177.294,858.632
133,-26.69834768,116.68398850,370.513,1313.611,553.372
134,-26.70113541,116.67637770,372.313,556.122,244.485
135,-26.70010010,116.67653260,372.545,571.541,359.21
136,-26.69950660,116.67570180,373.000,488.857,424.98
137,-26.69847588,116.67610110,372.834,528.598,539.194
138,-26.69745014,116.67461880,374.296,381.069,652.864
141,-26.70197201,116.68185180,369.162,1100.945,151.76
142,-26.70734153,116.68285840,368.456,1201.132,-443.25
143,-26.70572952,116.67580000,373.245,498.629,-264.594
144,-26.70378357,116.67381630,374.625,301.193,-48.952
145,-26.70368845,116.67451410,374.351,370.648,-38.415
146,-26.70416431,116.67625910,372.836,544.324,-91.152
147,-26.70337076,116.67588200,372.823,506.793,-3.216
148,-26.70266045,116.67605220,372.635,523.727,75.494
151,-26.71270664,116.67735880,371.189,653.774,-1037.748
152,-26.71087981,116.67524090,372.321,442.99,-835.306
153,-26.70790220,116.67019920,372.933,-58.801,-505.332
154,-26.70699719,116.67116240,374.047,37.065,-405.05
155,-26.70657154,116.67312950,375.276,232.842,-357.891
156,-26.70664880,116.67338210,375.237,257.984,-366.453
157,-26.70621611,116.67406240,375.045,325.688,-318.508
158,-26.70610601,116.67406650,375.144,326.101,-306.307
161,-26.70703353,116.66664590,373.996,-412.457,-409.06
162,-26.70713452,116.66936430,373.518,-141.898,-420.261
163,-26.71071785,116.66596450,375.791,-480.27,-817.324
164,-26.71113713,116.66500740,375.607,-575.533,-863.782
165,-26.70910750,116.66401780,375.408,-674.021,-638.871
166,-26.70555404,116.66444600,375.580,-631.403,-245.107
167,-26.70487049,116.66442760,375.650,-633.237,-169.362
168,-26.70566730,116.66507760,375.277,-568.54,-257.66
LBA1,-26.701451,116.650721,372.921,-1999.81,206.85
LBA2,-26.702835,116.653029,374.440,-1770.14,53.59
LBA3,-26.703898,116.654736,375.535,-1600.21,-64.26
LBA4,-26.705072,116.656012,376.218,-1473.17,-194.32
LBA5,-26.707413,116.657076,374.906,-1367.27,-453.65
LBA6,-26.708461,116.659029,374.774,-1172.92,-569.74
LBA7,-26.709624,116.659752,374.122,-1100.97,-698.66
LBA8,-26.710356,116.661879,374.406,-889.29,-779.73
LBB1,-26.680184,116.662484,369.515,-829.33,2563.46
LBB2,-26.677782,116.667494,373.367,-330.61,2829.62
LBB3,-26.684914,116.666240,370.946,-455.36,2039.45
LBB4,-26.679455,116.669056,373.959,-175.09,2644.3
LBB5,-26.683980,116.670287,373.188,-52.55,2142.93
LBB6,-26.680435,116.678617,377.701,776.55,2535.7
LBB7,-26.682091,116.676048,376.345,520.82,2352.17
LBB8,-26.685610,116.674110,374.381,327.91,1962.28
LBC1,-26.689450,116.674472,374.634,363.95,1536.78
LBC2,-26.683633,116.679612,377.049,875.57,2181.3
LBC3,-26.688088,116.679654,376.532,879.78,1687.73
LBC4,-26.681128,116.684488,380.610,1360.97,2458.85
LBC5,-26.683885,116.687729,380.989,1683.51,2153.35
LBC6,-26.686498,116.684593,378.974,1371.37,1863.8
LBC7,-26.689801,116.687205,376.743,1631.27,1497.8
LBC8,-26.690798,116.683120,376.459,1224.7,1387.35
LBD1,-26.692061,116.689981,375.325,1907.59,1247.36
LBD2,-26.687295,116.691461,378.581,2054.93,1775.43
LBD3,-26.683334,116.694927,380.840,2400.04,2214.24
LBD4,-26.687202,116.695345,377.353,2441.55,1785.7
LBD5,-26.690973,116.694389,375.661,2346.29,1367.78
LBD6,-26.686117,116.698653,378.428,2770.82,1905.8
LBD7,-26.688512,116.702017,376.795,3105.64,1640.33
LBD8,-26.690184,116.699673,376.452,2872.28,1455.11
LBE1,-26.695692,116.687438,372.223,1654.37,845.05
LBE2,-26.697635,116.690855,373.703,1994.47,629.74
LBE3,-26.694055,116.694200,374.519,2327.42,1026.38
LBE4,-26.699628,116.693304,371.502,2238.17,408.81
LBE5,-26.694909,116.697929,373.229,2698.58,931.59
LBE6,-26.698146,116.697646,371.787,2670.33,572.92
LBE7,-26.703104,116.694988,369.349,2405.67,23.61
LBE8,-26.693431,116.701253,373.690,3029.46,1095.29
LBF1,-26.710655,116.678885,371.037,803.01,-812.85
LBF2,-26.701698,116.685604,369.243,1471.78,179.53
LBF3,-26.709562,116.682652,368.310,1177.92,-691.74
LBF4,-26.707635,116.687670,366.646,1677.27,-478.33
LBF5,-26.711732,116.686485,367.407,1559.38,-932.27
LBF6,-26.704281,116.689719,368.260,1881.27,-106.66
LBF7,-26.705590,116.693781,367.949,2285.48,-251.75
LBF8,-26.711807,116.690826,365.145,1991.31,-940.61
LBG1,-26.712268,116.672481,370.300,165.76,-991.57
LBG2,-26.716739,116.675954,368.752,511.31,-1486.98
LBG3,-26.721963,116.674217,365.986,338.49,-2065.83
LBG4,-26.716032,116.678913,367.881,805.81,-1408.62
LBG5,-26.713602,116.681927,370.544,1105.72,-1139.39
LBG6,-26.721151,116.680182,365.385,931.99,-1975.87
LBG7,-26.720171,116.684245,366.173,1336.34,-1867.29
LBG8,-26.715554,116.687540,365.878,1664.29,-1355.78
